bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
PRJNA428596,,SAMN08892413,,SRX3906509,SRR6964550,,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08892414,,SRX3906510,SRR6964549,,,S,,,,R,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892415,,SRX3906511,SRR6964548,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892416,,SRX3906512,SRR6964547,,,S,,,,S,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08892417,,SRX3906513,SRR6964546,,,S,,,,R,R,S,R,,S,R,R,S
PRJNA428596,,SAMN08892418,,SRX3906514,SRR6964545,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892419,,SRX3906515,SRR6964544,,,S,,,,R,R,S,R,,S,,R,R
PRJNA428596,,SAMN08892420,,SRX3906516,SRR6964543,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892421,,SRX3906517,SRR6964542,,,S,,,,R,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08892422,,SRX3906485,SRR6964574,,,S,,,,R,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892423,,SRX3906484,SRR6964575,,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08892424,,SRX3906483,SRR6964576,,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08892425,,SRX3906482,SRR6964577,,,,,,,S,S,,S,,S,,S,S
PRJNA428596,,SAMN08892426,,SRX3906481,SRR6964578,,,S,,,,S,S,S,S,,S,,S,R
PRJNA428596,,SAMN08892427,,SRX3906480,SRR6964579,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892428,,SRX3906479,SRR6964580,,,S,,,,S,S,S,S,,S,,S,R
PRJNA428596,,SAMN08892429,,SRX3906478,SRR6964581,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892430,,SRX3906487,SRR6964572,,,S,,,,S,R,S,S,,S,,R,S
PRJNA428596,,SAMN08892431,,SRX3906486,SRR6964573,,,R,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892432,,SRX3906554,SRR6964505,,,S,,,,R,R,S,R,,S,R,R,R
PRJNA428596,,SAMN08892433,,SRX3906555,SRR6964504,,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08892434,,SRX3906552,SRR6964507,,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08892435,,SRX3906553,SRR6964506,,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08892436,,SRX3906550,SRR6964509,,,S,,,,S,S,S,S,,S,,R,S
PRJNA428596,,SAMN08892437,,SRX3906551,SRR6964508,,,S,,,,S,R,S,S,,S,,S,R
PRJNA428596,,SAMN08892438,,SRX3906548,SRR6964511,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892439,,SRX3906549,SRR6964510,,,S,,,,R,R,S,R,,S,R,R,R
PRJNA428596,,SAMN08892440,,SRX3906556,SRR6964503,,,S,,,,S,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892441,,SRX3906557,SRR6964502,,,S,,,,S,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892442,,SRX3906533,SRR6964526,,,S,,,,S,S,S,R,,S,,S,S
PRJNA428596,,SAMN08892443,,SRX3906532,SRR6964527,,,S,,,,S,R,S,S,,S,,R,R
PRJNA428596,,SAMN08892444,,SRX3906535,SRR6964524,,,S,,,,S,S,S,S,,S,,S,S
PRJNA428596,,SAMN08892445,,SRX3906534,SRR6964525,,,S,,,,R,R,S,R,,S,,R,R
