#Sample.sample_id,Isolate.isolate_id,Seqrep.ena_run_accession,Isolate.ena_experiment_accession,Sample.ena_sample_accession,Sample.ena_study_accession,Pipeline_output,vcf
29232,29232,SRR6046575,None,SAMN07660160,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/32/29232,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29233,29233,SRR6044904,None,SAMN07660165,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/33/29233,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29235,29235,SRR6045065,None,SAMN07660167,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/35/29235,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29237,29237,SRR6044889,None,SAMN07660170,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/37/29237,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29238,29238,SRR6045810,None,SAMN07660172,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/38/29238,Pipelines/1/variant_call/0.7.3.ref.3/minos/final.vcf
29240,29240,SRR6045559,None,SAMN07660178,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/40/29240,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29241,29241,SRR6045022,None,SAMN07660186,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/41/29241,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29242,29242,SRR6046093,None,SAMN07660188,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/42/29242,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29244,29244,SRR6046354,None,SAMN07660190,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/44/29244,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29246,29246,SRR6044821,None,SAMN07660198,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/46/29246,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29247,29247,SRR6046082,None,SAMN07660202,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/92/47/29247,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
